"col0","col1"
"`DROP T ... sions""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... cff78""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`DROP I ... ataId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 37833""`","This is a potential data sink (argument to 'query')."
"`DROP I ... ataId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ataId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... cff78""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ataId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... a8a83""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 04256""`","This is a potential data sink (argument to 'query')."
"`DROP T ... ssion""`","This is a potential data sink (argument to 'query')."
"`DROP T ... ssion""`","This is a potential data sink (argument to 'query')."
"'SELECT version()'","This is a potential data sink (argument to 'query')."
"'SELECT ... tivity'","This is a potential data sink (argument to 'query')."
"'SHOW m ... ctions'","This is a potential data sink (argument to 'query')."
"'SELECT ... uptime'","This is a potential data sink (argument to 'query')."
"'SELECT ... s size'","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"'SELECT ... base()'","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"query","This is a potential data sink (argument to 'query')."
"`CREATE ... Name}""`","This is a potential data sink (argument to 'query')."
"`IMPORT ... Name}""`","This is a potential data sink (argument to 'query')."
"`SELECT ... Name}'`","This is a potential data sink (argument to 'query')."
"`DROP S ... ASCADE`","This is a potential data sink (argument to 'query')."
"`SELECT ... ame}')`","This is a potential data sink (argument to 'query')."
"`SELECT ... e = $1`","This is a potential data sink (argument to 'query')."
"foreign ... erQuery","This is a potential data sink (argument to 'query')."
"userMappingQuery","This is a potential data sink (argument to 'query')."
"foreign ... erQuery","This is a potential data sink (argument to 'query')."
"userMappingQuery","This is a potential data sink (argument to 'query')."
"`DROP S ... ASCADE`","This is a potential data sink (argument to 'query')."
"`SELECT ... ompany`","This is a potential data sink (argument to 'query')."
"`SELECT ... MIT 50`","This is a potential data sink (argument to 'query')."
"query","This is a potential data sink (argument to 'query')."
"query","This is a potential data sink (argument to 'query')."
"`SELECT ... ta)}')`","This is a potential data sink (argument to 'query')."
"`\n      ... ;\n    `","This is a potential data sink (argument to 'query')."
"`\n      ... }\n    `","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`\n      ... ""\n    `","This is a potential data sink (argument to 'query')."
"`\n      ... ""\n    `","This is a potential data sink (argument to 'query')."
"`SELECT ... Name}""`","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`DROP T ... Name}""`","This is a potential data sink (argument to 'query')."
"`\n      ... ""\n    `","This is a potential data sink (argument to 'query')."
"`SELECT ... e = $3`","This is a potential data sink (argument to 'query')."
"`SET LO ... aName}`","This is a potential data sink (argument to 'query')."
"`DROP F ... name}""`","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`\n      ... 3\n    `","This is a potential data sink (argument to 'query')."
"`\n      ... ;\n    `","This is a potential data sink (argument to 'query')."
"`CREATE ... ions})`","This is a potential data sink (argument to 'query')."
"`\n      ... ;\n    `","This is a potential data sink (argument to 'query')."
"`ALTER  ... uery};`","This is a potential data sink (argument to 'query')."
"{\n      ... ,\n    }","This is a potential data sink (argument to 'query')."
"{\n      ... ,\n    }","This is a potential data sink (argument to 'query')."
"`DELETE ... ular}""`","This is a potential data sink (argument to 'query')."
"`\n      ... }\n    `","This is a potential data sink (argument to 'query')."
"`\n      ... }\n    `","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`\n      ... }\n    `","This is a potential data sink (argument to 'query')."
"`\n      ... }\n    `","This is a potential data sink (argument to 'query')."
